teamID,offense_name,offense_weight,offense_height,offense_age,offense_birthCity,offense_birthState,offense_birthCountry,offense_position,offense_jersey,offense_xp,offense_status,offense_headshot
3,Teven Jenkins,321.0,78.0,25,Topeka,KS,USA,Offensive Tackle,teven-jenkins,2,active,https://a.espncdn.com/i/headshots/nfl/players/full/4038457.png
3,Braxton Jones,310.0,77.0,24,Murray,UT,USA,Offensive Tackle,braxton-jones,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4251007.png
3,Velus Jones Jr.,200.0,72.0,25,Saraland,AL,USA,Wide Receiver,velus-jones-jr,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4035693.png
3,Cole Kmet,260.0,78.0,24,Lake Barrington,IL,USA,Tight End,cole-kmet,3,active,https://a.espncdn.com/i/headshots/nfl/players/full/4258595.png
3,Doug Kramer,300.0,74.0,24,Hinsdale,IL,USA,Center,doug-kramer,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4047178.png
3,Alex Leatherwood,312.0,77.0,24,Pensacola,FL,USA,Offensive Tackle,alex-leatherwood,2,active,https://a.espncdn.com/i/headshots/nfl/players/full/4241466.png
3,Darnell Mooney,173.0,71.0,25,Gadsden,AL,USA,Wide Receiver,darnell-mooney,3,active,https://a.espncdn.com/i/headshots/nfl/players/full/4040655.png
3,DJ Moore,210.0,72.0,26,Philadelphia,PA,USA,Wide Receiver,dj-moore,6,active,https://a.espncdn.com/i/headshots/nfl/players/full/3915416.png
3,Lucas Patrick,313.0,75.0,29,Brentwood,TN,USA,Guard,lucas-patrick,6,active,https://a.espncdn.com/i/headshots/nfl/players/full/2576736.png
3,Nathan Peterman,225.0,74.0,28,Jacksonville,FL,USA,Quarterback,nathan-peterman,6,active,https://a.espncdn.com/i/headshots/nfl/players/full/2972236.png
3,Joe Reed,224.0,72.0,25,Charlotte Court House,VA,USA,Wide Receiver,joe-reed,2,active,https://a.espncdn.com/i/headshots/nfl/players/full/4037591.png
3,Equanimeous St. Brown,214.0,77.0,26,Anaheim,CA,USA,Wide Receiver,equanimeous-st-brown,5,active,https://a.espncdn.com/i/headshots/nfl/players/full/3932442.png
3,Jake Tonges,240.0,76.0,23,Los Gatos,CA,USA,Tight End,jake-tonges,0,active,https://a.espncdn.com/i/headshots/nfl/players/full/4259147.png
3,Robert Tonyan,240.0,77.0,28,Mchenry,IL,USA,Tight End,robert-tonyan,5,active,https://a.espncdn.com/i/headshots/nfl/players/full/2975674.png
3,PJ Walker,210.0,71.0,28,Elizabeth,NJ,USA,Quarterback,pj-walker,3,active,https://a.espncdn.com/i/headshots/nfl/players/full/3051308.png
3,Nsimba Webster,180.0,70.0,27,Antioch,CA,USA,Wide Receiver,nsimba-webster,4,active,https://a.espncdn.com/i/headshots/nfl/players/full/3119317.png
3,Cody Whitehair,316.0,75.0,30,Abilene,KS,USA,Center,cody-whitehair,7,active,https://a.espncdn.com/i/headshots/nfl/players/full/2577346.png
4,Hakeem Adeniji,315.0,76.0,25,Garland,TX,USA,Guard,hakeem-adeniji,3,active,https://a.espncdn.com/i/headshots/nfl/players/full/4046557.png
4,Devin Asiasi,257.0,75.0,25,San Mateo,CA,USA,Tight End,devin-asiasi,3,active,https://a.espncdn.com/i/headshots/nfl/players/full/4046522.png
